pit_pun_breadth
0.90
1.72
1.91
0.21
0.34
0.38
0.19
1.40
1.45
1.45
1.14
0.31
0.30
0.09
0.96
0.29
0.25
0.30
1.14
0.77
0.98
0.50
0.22
0.33
0.64
3.22
0.76
0.52
1.78
1.31
0.26
0.88
0.37
0.43
1.33
0.45
0.99
0.97
0.93
0.2
0.15
0.18
0.13
0.18
0.15
0.49
0.27
1.62
1.74
3.31
0.73
0.50
0.40
0.16
0.38
2.36
1.64
0.9
0.62
0.50
0.56
0.47
0.52
0.48
0.19
0.23
0.32
